zone_temp_id;temporary_JJ96-211;register;act_number;warning
60080;33461;JJ176;324;FOLIO vide ou non reconnu dans Acts CSV
60081;33462;JJ176;325;FOLIO vide ou non reconnu dans Acts CSV
60082;33462;JJ176;325;FOLIO vide ou non reconnu dans Acts CSV
60083;33463;JJ176;326;FOLIO vide ou non reconnu dans Acts CSV
60084;33463;JJ176;326;FOLIO vide ou non reconnu dans Acts CSV
60085;33464;JJ176;327;FOLIO vide ou non reconnu dans Acts CSV
60086;33464;JJ176;327;FOLIO vide ou non reconnu dans Acts CSV
60087;33465;JJ176;328;FOLIO vide ou non reconnu dans Acts CSV
60088;33466;JJ176;329;FOLIO vide ou non reconnu dans Acts CSV
60089;33466;JJ176;329;FOLIO vide ou non reconnu dans Acts CSV
60090;33467;JJ176;330;FOLIO vide ou non reconnu dans Acts CSV
60091;33467;JJ176;330;FOLIO vide ou non reconnu dans Acts CSV
60092;33468;JJ176;331;FOLIO vide ou non reconnu dans Acts CSV
60093;33469;JJ176;332;FOLIO vide ou non reconnu dans Acts CSV
60094;33469;JJ176;332;FOLIO vide ou non reconnu dans Acts CSV
60095;33470;JJ176;333;FOLIO vide ou non reconnu dans Acts CSV
60096;33471;JJ176;334;FOLIO vide ou non reconnu dans Acts CSV
60097;33472;JJ176;335;FOLIO vide ou non reconnu dans Acts CSV
60098;33473;JJ176;336;FOLIO vide ou non reconnu dans Acts CSV
60099;33474;JJ176;337;FOLIO vide ou non reconnu dans Acts CSV
60100;33475;JJ176;338;FOLIO vide ou non reconnu dans Acts CSV
60101;33475;JJ176;338;FOLIO vide ou non reconnu dans Acts CSV
60102;33476;JJ176;339;FOLIO vide ou non reconnu dans Acts CSV
60103;33476;JJ176;339;FOLIO vide ou non reconnu dans Acts CSV
60104;33477;JJ176;340;
60105;33477,1;JJ176;340bis;FOLIO vide ou non reconnu dans Acts CSV
60106;33478;JJ176;341;FOLIO vide ou non reconnu dans Acts CSV
60107;33479;JJ176;342;FOLIO vide ou non reconnu dans Acts CSV
60108;33479;JJ176;342;FOLIO vide ou non reconnu dans Acts CSV
60109;33479;JJ176;342;FOLIO vide ou non reconnu dans Acts CSV
60110;33480;JJ176;343;FOLIO vide ou non reconnu dans Acts CSV
60111;33481;JJ176;344;FOLIO vide ou non reconnu dans Acts CSV
60112;33482;JJ176;345;FOLIO vide ou non reconnu dans Acts CSV
60113;33483;JJ176;346;FOLIO vide ou non reconnu dans Acts CSV
60114;33483;JJ176;346;FOLIO vide ou non reconnu dans Acts CSV
60115;33484;JJ176;347;FOLIO vide ou non reconnu dans Acts CSV
