Image_Path;Image_Width;Image_Height;YOLO_Results_File;Class_Id;Class_Name;Detected_coordinates;Absolute_coordinates;Confidence;Url_Detection;Url_Image
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_163.jpg;4347;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_163.txt;1;AI;0.4366 0.8177 0.8731 0.3546;0,3150,3795,1744;0.9468317031860352;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk888xcfk3zq/0,3150,3795,1744/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk888xcfk3zq/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_163.jpg;4347;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_163.txt;2;AF;0.4303 0.3249 0.8593 0.6375;2,30,3735,3136;0.9597711563110352;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk888xcfk3zq/2,30,3735,3136/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk888xcfk3zq/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_164.jpg;4228;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_164.txt;1;AI;0.5014 0.7325 0.9963 0.5284;13,2312,4212,2609;0.965195894241333;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbbrxluxsanj/13,2312,4212,2609/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbbrxluxsanj/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_164.jpg;4228;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_164.txt;2;AF;0.5 0.2421 1.0 0.4545;0,73,4228,2244;0.9612656831741332;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbbrxluxsanj/0,73,4228,2244/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbbrxluxsanj/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_165.jpg;4347;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_165.txt;1;AI;0.4197 0.6227 0.8392 0.742;0,1238,3648,3650;0.957521915435791;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1dw25z6otrw/0,1238,3648,3650/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1dw25z6otrw/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_165.jpg;4347;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_165.txt;2;AF;0.4882 0.1277 0.9746 0.25;3,13,4236,1230;0.9438327550888062;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1dw25z6otrw/3,13,4236,1230/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1dw25z6otrw/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_166.jpg;4228;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_166.txt;1;AI;0.5419 0.6676 0.9152 0.6586;356,1670,3869,3252;0.9751901626586914;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1zueffhe5tp/356,1670,3869,3252/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1zueffhe5tp/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_166.jpg;4228;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_166.txt;2;AF;0.5 0.175 1.0 0.3244;0,63,4228,1601;0.9623188972473145;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1zueffhe5tp/0,63,4228,1601/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1zueffhe5tp/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_167.jpg;4347;4920;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_167.txt;2;AF;0.4496 0.5 0.8975 0.9933;3,16,3901,4887;0.9172283411026;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwqbqo41bn2p/3,16,3901,4887/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwqbqo41bn2p/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ141/Paris_Archives_Nationales_JJ141_168.jpg;4228;4938;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ141/labels/Paris_Archives_Nationales_JJ141_168.txt;2;AF;0.5 0.4999 1.0 0.9901;0,23,4228,4889;0.5179466605186462;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk4vjbjd3ge3/0,23,4228,4889/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk4vjbjd3ge3/full/full/0/default.jpg
