Paris_AN_JJ_inventaire_Gascogne.xml_Register;Paris_AN_JJ_inventaire_Gascogne.xml_Act_number;Paris_AN_JJ_inventaire_Gascogne.xml_Head;Paris_AN_JJ_inventaire_Gascogne.xml_Locus;Paris_AN_JJ_inventaire_Gascogne.xml_File
JJ53;267;104A;113;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;268;104B;113;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;269;104C;113;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;287;105;120;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;291;106;121vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;295;107;123;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;307;108;128;Paris_AN_JJ_inventaire_Gascogne.xml
JJ53;308;109;128vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;5;110;1vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;6;111;1vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;13;112;2;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;266;113;18vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;277;114;19;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;281;115;19vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;435;116;31;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;487;117;36;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;488;118;36;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;489;119;36;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;490;120;36;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;491;121;36;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;492;122;36;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;493;123;36;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;494;124;36;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;495;125;36;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;496;126;36vo;Paris_AN_JJ_inventaire_Gascogne.xml
