File;Register;Act_number;Head
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ158;23bis;23/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ159;259bis;259/bis.
Guerin_tome1-tome12;JJ159;82 bis;DCCCCV
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ160;373bis;373/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ161;354bis;354/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ161;373bis;373/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ162;315bis;315/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ163;254bis;254/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ163;264bis;264/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ163;302bis;302/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ163;395bis;395/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ163;46bis;46/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ163;49bis;49/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ163;69bis;69/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ164;54bis;54/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ164;86bis;86/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ165;385bis;385/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ166;110bis;110bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ166;111bis;111bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ166;112bis;112bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ166;113bis;113bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ166;142bis;142bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ166;206bis;206bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ166;272bis;272bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ166;30bis;30bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ168;14bis;14/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ168;68bis;68/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ168;81bis;81/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ169;497bis;497bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ170;104bis;104bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ170;61bis;61bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ171;164bis;164/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ171;429bis;429/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ172;361bis;361/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ173;544bis;544bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ173;645bis;645bis.
Longnon;JJ174;46bis;CXXX
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ174;46bis;46bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ175;258bis;258bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ176;105bis;105bis.
Guerin_tome1-tome12;JJ177;178bis;MLXXXIX
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ177;43bis;43bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ178;62bis;62bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ179;10bis;10/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ179;204bis;204bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ182;113bis;113/bis.
Guerin_tome1-tome12;JJ184;603 bis;MLVIII
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ185;236bis;236bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ185;336-336bis;336-336bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ189;213bis;213/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ195;972bis;972bis.
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ98;7bis;7bis
