Paris_AN_JJ_inventaire_JJ85.xml_Register;Paris_AN_JJ_inventaire_JJ85.xml_Act_number;Paris_AN_JJ_inventaire_JJ85.xml_Head;Paris_AN_JJ_inventaire_JJ85.xml_Locus;Paris_AN_JJ_inventaire_JJ85.xml_File
JJ85;155;;73r;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;156;;73v;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;157à177;;74r;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;178;;74v;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;179;;74v;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;180;;75r;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;181;;75r;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;182;;75v;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;183;;76r;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;184;;76r;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;185;;77r-79v;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;186;;80r;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;187;;80r;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;188;;80v;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;189;;81r-83v;Paris_AN_JJ_inventaire_JJ85.xml
JJ85;190;;83v;Paris_AN_JJ_inventaire_JJ85.xml
