Guerin_tome1-tome12.xml_Register;Guerin_tome1-tome12.xml_Act_number;Guerin_tome1-tome12.xml_Head;Guerin_tome1-tome12.xml_Locus;Guerin_tome1-tome12.xml_File
JJ198;58;MCCCL;fol48;Guerin_tome1-tome12.xml
JJ198;323;MCCCLI;fol283v;Guerin_tome1-tome12.xml
JJ198;69;MCCCLII;fol68;Guerin_tome1-tome12.xml
JJ198;314;MCCCLIII;fol276;Guerin_tome1-tome12.xml
JJ198;150;MCCCLIV;fol131;Guerin_tome1-tome12.xml
JJ198;356;MCCCLV;fol312;Guerin_tome1-tome12.xml
JJ198;281;MCCCLVI;fol247;Guerin_tome1-tome12.xml
JJ198;312;MCCCLVII;fol275;Guerin_tome1-tome12.xml
JJ198;313;MCCCLVIII;fol275v;Guerin_tome1-tome12.xml
JJ198;335;MCCCLIX;fol297;Guerin_tome1-tome12.xml
JJ198;215;MCCCLX;fol200v;Guerin_tome1-tome12.xml
JJ198;290;MCCCLXI;fol252v;Guerin_tome1-tome12.xml
JJ198;340;MCCCLXII;fol299v;Guerin_tome1-tome12.xml
JJ198;350;MCCCLXIII;fol306v;Guerin_tome1-tome12.xml
JJ198;430;MCCCLXIV;fol387v;Guerin_tome1-tome12.xml
JJ198;429;MCCCLXV;fol387;Guerin_tome1-tome12.xml
JJ198;385;MCCCLXVI;fol351);Guerin_tome1-tome12.xml
JJ198;359;MCCCLXVII;fol315v;Guerin_tome1-tome12.xml
JJ198;357;MCCCLXIX;fol313v;Guerin_tome1-tome12.xml
JJ198;370;MCCCLXX;fol337;Guerin_tome1-tome12.xml
JJ198;562;MCCCLXXI;fol511v;Guerin_tome1-tome12.xml
JJ198;403;MCCCLXXII;fol368;Guerin_tome1-tome12.xml
JJ198;397;MCCCLXXIII;fol362v;Guerin_tome1-tome12.xml
JJ198;401;MCCCLXXIV;fol366v;Guerin_tome1-tome12.xml
JJ198;416;MCCCLXXV;fol378v;Guerin_tome1-tome12.xml
JJ198;474;MCCCLXXVI;fol426;Guerin_tome1-tome12.xml
JJ198;409;MCCCLXXVII;fol371v;Guerin_tome1-tome12.xml
JJ198;470;MCCCLXXVIII;fol421;Guerin_tome1-tome12.xml
JJ198;511;MCCCLXXIX;fol456);Guerin_tome1-tome12.xml
JJ198;512;MCCCLXXX;fol456v;Guerin_tome1-tome12.xml
JJ199;171;MCCCLXXXI;fol106;Guerin_tome1-tome12.xml
JJ198;548;MCCCLXXXII;fol499;Guerin_tome1-tome12.xml
JJ199;252;MCCCLXXXIII;fol145;Guerin_tome1-tome12.xml
JJ199;160;MCCCLXXXIV;fol97v;Guerin_tome1-tome12.xml
JJ199;360;MCCCLXXXV;fol222;Guerin_tome1-tome12.xml
JJ190;177;MCCCLXXXVI;fol110;Guerin_tome1-tome12.xml
JJ199;176;MCCCLXXXVII;fol109v;Guerin_tome1-tome12.xml
JJ199;121;MCCCLXXXVIII;fol73;Guerin_tome1-tome12.xml
JJ199;74;MCCCLXXXIX;fol46;Guerin_tome1-tome12.xml
JJ199;69;MCCCXC;fol43;Guerin_tome1-tome12.xml
JJ199;254;MCCCXCI;fol149;Guerin_tome1-tome12.xml
JJ199;234;MCCCXCII;fol137;Guerin_tome1-tome12.xml
JJ199;149;MCCCXCIII;fol90v;Guerin_tome1-tome12.xml
JJ199;379;MCCCXCIV;fol234;Guerin_tome1-tome12.xml
JJ199;599;MCCCXCV;fol379v;Guerin_tome1-tome12.xml
JJ199;42;MCCCXCVI;fol29;Guerin_tome1-tome12.xml
JJ199;433;MCCCXCVII;fol272;Guerin_tome1-tome12.xml
JJ199;492;MCCCXCVIII;fol 310 v°;Guerin_tome1-tome12.xml
JJ199;499;MCCCXCIX;fol 316;Guerin_tome1-tome12.xml
JJ199;500;MCCCC;fol 316 v°;Guerin_tome1-tome12.xml
JJ197;102;MCCCCI;fol 61;Guerin_tome1-tome12.xml
JJ200;205;MCCCCII;fol 109 v°;Guerin_tome1-tome12.xml
JJ200;206;MCCCCIII;fol 110;Guerin_tome1-tome12.xml
JJ200;204;MCCCCIV;fol 108 v°;Guerin_tome1-tome12.xml
JJ199;502;MCCCCV;fol 317 v°;Guerin_tome1-tome12.xml
JJ199;509;MCCCCVI;fol 320 v°;Guerin_tome1-tome12.xml
JJ199;530;MCCCCVII;fol 333;Guerin_tome1-tome12.xml
JJ199;514;MCCCCVIII;fol 323 v°;Guerin_tome1-tome12.xml
JJ199;519;MCCCCIX;fol 325;Guerin_tome1-tome12.xml
JJ199;537;MCCCCX;fol 337 v°;Guerin_tome1-tome12.xml
JJ194;34;MCCCCXI;fol 18 v°;Guerin_tome1-tome12.xml
JJ194;90;MCCCCXII;fol 48 v°;Guerin_tome1-tome12.xml
JJ202;15;MCCCCXIII;fol 10;Guerin_tome1-tome12.xml
JJ194;111;MCCCCXIV;fol 60 v°;Guerin_tome1-tome12.xml
JJ194;2;MCCCCXV;fol 2;Guerin_tome1-tome12.xml
JJ194;249;MCCCCXVI;fol 138 v°;Guerin_tome1-tome12.xml
JJ194;12;MCCCCXVII;fol 7 v°;Guerin_tome1-tome12.xml
JJ202;36;MCCCCXVIII;fol 24;Guerin_tome1-tome12.xml
JJ194;190;MCCCCXIX;fol 101 v°;Guerin_tome1-tome12.xml
JJ194;182;MCCCCXX;fol 97 v°;Guerin_tome1-tome12.xml
JJ194;220;MCCCCXXI;fol 121;Guerin_tome1-tome12.xml
JJ202;67;MCCCCXXII;fol 43;Guerin_tome1-tome12.xml
JJ202;65;MCCCCXXIII;fol 41 v°;Guerin_tome1-tome12.xml
JJ202;107;MCCCCXXIV;fol 63 v°;Guerin_tome1-tome12.xml
JJ200;144;MCCCCXXV;fol 78 v°;Guerin_tome1-tome12.xml
JJ200;149;MCCCCXXVI;fol 80 v°;Guerin_tome1-tome12.xml
JJ194;240;MCCCCXXVII;fol 133;Guerin_tome1-tome12.xml
JJ194;239;MCCCCXXVIII;fol 132 v°;Guerin_tome1-tome12.xml
JJ194;218;MCCCCXXIX;fol 120 v°;Guerin_tome1-tome12.xml
JJ200;169;MCCCCXXX;fol 92;Guerin_tome1-tome12.xml
JJ200;196;MCCCCXXXI;fol 104 v°;Guerin_tome1-tome12.xml
JJ200;127;MCCCCXXXII;fol 68 v°;Guerin_tome1-tome12.xml
JJ200;132;MCCCCXXXIII;fol 72;Guerin_tome1-tome12.xml
JJ200;11;MCCCCXXXIV;fol 8 v°;Guerin_tome1-tome12.xml
JJ200;203;MCCCCXXXIV;fol 107 v°;Guerin_tome1-tome12.xml
JJ200;203;MCCCCXXXV;fol 107 v°;Guerin_tome1-tome12.xml
JJ200;213;MCCCCXXXVI;fol 113;Guerin_tome1-tome12.xml
JJ195;1;MCCCCXXXVII;fol 1;Guerin_tome1-tome12.xml
JJ200;97;MCCCCXXXVIII;fol 53 v°;Guerin_tome1-tome12.xml
JJ201;11;MCCCCXXXIX;fol 6;Guerin_tome1-tome12.xml
JJ195;120;MCCCCXL;fol 34 v°;Guerin_tome1-tome12.xml
JJ195;38;MCCCCXLI;fol 12 v°;Guerin_tome1-tome12.xml
JJ200;80;MCCCCXLII;fol 45;Guerin_tome1-tome12.xml
JJ194;281;MCCCCXLIII;fol 159;Guerin_tome1-tome12.xml
JJ194;315;MCCCCXLIV;fol 177 v°;Guerin_tome1-tome12.xml
JJ194;312;MCCCCXLV;fol 176;Guerin_tome1-tome12.xml
JJ194;305;MCCCCXLVI;fol 173;Guerin_tome1-tome12.xml
JJ194;284;MCCCCXLVII;fol 161;Guerin_tome1-tome12.xml
JJ195;173;MCCCCXLVIII;fol 49;Guerin_tome1-tome12.xml
JJ197;21;MCCCCXLIX;fol 12;Guerin_tome1-tome12.xml
JJ195;185;MCCCCL;fol 53;Guerin_tome1-tome12.xml
JJ197;10;MCCCCLI;fol 6;Guerin_tome1-tome12.xml
JJ197;12;MCCCCLII;fol 7 v°;Guerin_tome1-tome12.xml
JJ197;84;MCCCCLIII;fol 51;Guerin_tome1-tome12.xml
JJ197;33;MCCCCLIV;fol 21;Guerin_tome1-tome12.xml
JJ197;47;MCCCCLV;fol 31;Guerin_tome1-tome12.xml
JJ197;68;MCCCCLVI;fol 43;Guerin_tome1-tome12.xml
JJ196;75;MCCCCLVII;fol 47 v°;Guerin_tome1-tome12.xml
JJ197;98;MCCCCLVIII;fol 57 v°;Guerin_tome1-tome12.xml
JJ196;148;MCCCCLIX;fol 83;Guerin_tome1-tome12.xml
JJ197;99;MCCCCLX;fol 58;Guerin_tome1-tome12.xml
JJ196;84;MCCCCLXI;fol 52 v°;Guerin_tome1-tome12.xml
JJ196;137;MCCCCLXII;fol 77;Guerin_tome1-tome12.xml
JJ196;70;MCCCCLXIII;fol 45;Guerin_tome1-tome12.xml
JJ196;85;MCCCCLXIV;fol 53;Guerin_tome1-tome12.xml
JJ196;138;MCCCCLXV;fol 77 v°;Guerin_tome1-tome12.xml
JJ196;139;MCCCCLXVI;fol 78;Guerin_tome1-tome12.xml
JJ196;39;MCCCCLXVII;fol 25;Guerin_tome1-tome12.xml
JJ196;127;MCCCCLXVIII;fol 72;Guerin_tome1-tome12.xml
JJ196;11;MCCCCLXIX;fol 8 v°;Guerin_tome1-tome12.xml
JJ196;32;MCCCCLXX;fol 21;Guerin_tome1-tome12.xml
JJ196;299;MCCCCLXXI;fol 183 v°;Guerin_tome1-tome12.xml
JJ196;60;MCCCCLXXII;fol 39;Guerin_tome1-tome12.xml
JJ196;119;MCCCCLXXIII;fol 67 v°;Guerin_tome1-tome12.xml
JJ197;104;MCCCCLXXIV;fol 62 v°;Guerin_tome1-tome12.xml
JJ196;66;MCCCCLXXV;fol 43;Guerin_tome1-tome12.xml
JJ196;97;MCCCCLXXVI;fol 58;Guerin_tome1-tome12.xml
JJ196;91;MCCCCLXXVII;fol 55 v°;Guerin_tome1-tome12.xml
JJ196;92;MCCCCLXXVIII;fol 56;Guerin_tome1-tome12.xml
JJ196;161;MCCCCLXXIX;fol 92;Guerin_tome1-tome12.xml
JJ196;120;MCCCCLXXX;fol 68;Guerin_tome1-tome12.xml
JJ196;185;MCCCCLXXXI;fol 116 v°;Guerin_tome1-tome12.xml
JJ196;160;MCCCCLXXXII;fol 91 v°;Guerin_tome1-tome12.xml
JJ196;252;MCCCCLXXXIII;fol 154 v°;Guerin_tome1-tome12.xml
JJ196;173;MCCCCLXXXIV;fol 108;Guerin_tome1-tome12.xml
JJ196;255;MCCCCLXXXV;fol 155 v°;Guerin_tome1-tome12.xml
JJ196;169;MCCCCLXXXVI;fol 105 v°;Guerin_tome1-tome12.xml
JJ196;152;MCCCCLXXXVII;fol 85 v°;Guerin_tome1-tome12.xml
JJ196;318;MCCCCLXXXVII;fol 198;Guerin_tome1-tome12.xml
JJ196;177;MCCCCLXXXVIII;fol 110 v°;Guerin_tome1-tome12.xml
JJ196;344 bis;MCCCCLXXXIX;fol 224;Guerin_tome1-tome12.xml
JJ196;19;MCCCCXC;fol 14;Guerin_tome1-tome12.xml
JJ196;199;MCCCCXCI;fol 129 v°;Guerin_tome1-tome12.xml
JJ196;289;MCCCCXCII;fol 175 v°;Guerin_tome1-tome12.xml
JJ196;546;MCCCCXCIII;fol 224 bis v°;Guerin_tome1-tome12.xml
JJ201;158;MCCCCXCIV;fol 121;Guerin_tome1-tome12.xml
JJ201;117;MCCCCXCV;fol 89 v°;Guerin_tome1-tome12.xml
JJ201;61;MCCCCXCVI;fol 48;Guerin_tome1-tome12.xml
JJ201;62;MCCCCXCVII;fol 48;Guerin_tome1-tome12.xml
JJ201;116;MCCCCXCVIII;fol 89 v°;Guerin_tome1-tome12.xml
JJ201;125;MCCCCXCIX;fol 98;Guerin_tome1-tome12.xml
JJ197;118;MD;fol 70;Guerin_tome1-tome12.xml
JJ194;345;MDI;fol 194;Guerin_tome1-tome12.xml
JJ197;161;MDII;fol 91;Guerin_tome1-tome12.xml
JJ195;968;MDIII;fol 224;Guerin_tome1-tome12.xml
JJ197;213;MDIV;fol 119 v°;Guerin_tome1-tome12.xml
JJ197;337;MDV;fol 181 v°;Guerin_tome1-tome12.xml
JJ197;286;MDVI;fol 154;Guerin_tome1-tome12.xml
JJ197;275;MDVII;fol 147 v°;Guerin_tome1-tome12.xml
JJ197;233;MDVIII;fol 129;Guerin_tome1-tome12.xml
JJ197;243;MDIX;fol 234;Guerin_tome1-tome12.xml
JJ195;758;MDX;fol 186 v°;Guerin_tome1-tome12.xml
JJ197;266;MDXI;fol 143 v°;Guerin_tome1-tome12.xml
JJ197;264;MDXII;fol 142 v°;Guerin_tome1-tome12.xml
JJ197;252;MDXIII;fol 138;Guerin_tome1-tome12.xml
JJ197;302;MDXIV;fol 164 v°;Guerin_tome1-tome12.xml
JJ197;257;MDXV;fol 140;Guerin_tome1-tome12.xml
JJ197;237;MDXVI;fol 132;Guerin_tome1-tome12.xml
JJ197;238;MDXVII;fol 132;Guerin_tome1-tome12.xml
JJ197;366;MDXVIII;fol 196;Guerin_tome1-tome12.xml
JJ197;405;MDXIX;fol 214;Guerin_tome1-tome12.xml
JJ197;373;MDXX;fol 199;Guerin_tome1-tome12.xml
JJ197;368;MDXXI;fol 197;Guerin_tome1-tome12.xml
JJ197;394;MDXXII;fol 204;Guerin_tome1-tome12.xml
JJ197;395;MDXXIII;fol 204;Guerin_tome1-tome12.xml
JJ195;833;MDXXIV;fol 201 v°;Guerin_tome1-tome12.xml
JJ194;361;MDXXV;fol 202;Guerin_tome1-tome12.xml
JJ194;371;MDXXVI;fol 208 v°;Guerin_tome1-tome12.xml
JJ204;124;MDXXVII;fol 75 v°;Guerin_tome1-tome12.xml
JJ194;360;MDXXVIII;fol 201 v°;Guerin_tome1-tome12.xml
JJ194;368;MDXXIX;fol 207;Guerin_tome1-tome12.xml
JJ195;974;MDXXX;fol 226;Guerin_tome1-tome12.xml
JJ204;1;MDXXXI;fol 1;Guerin_tome1-tome12.xml
JJ195;1008;MDXXXII;fol 233;Guerin_tome1-tome12.xml
JJ204;77;MDXXXIII;fol 49 v°;Guerin_tome1-tome12.xml
JJ204;73;MDXXXIV;fol 47;Guerin_tome1-tome12.xml
JJ204;71;MDXXXV;fol 45;Guerin_tome1-tome12.xml
JJ195;1037;MDXXXVI;fol 238;Guerin_tome1-tome12.xml
JJ195;1048;MDXXXVII;fol 240;Guerin_tome1-tome12.xml
JJ204;79;MDXXXVIII;fol 50 v°;Guerin_tome1-tome12.xml
JJ204;107;MDXXXIX;fol 64 v°;Guerin_tome1-tome12.xml
JJ204;109;MDXL;fol 67 v°;Guerin_tome1-tome12.xml
JJ195;1175;MDXLI;fol 263;Guerin_tome1-tome12.xml
JJ195;1180;MDXLII;fol 263 v°;Guerin_tome1-tome12.xml
JJ204;97;MDXLIII;fol 59 v°;Guerin_tome1-tome12.xml
JJ204;91;MDXLIV;fol 57;Guerin_tome1-tome12.xml
JJ195;1421;MDXLV;fol 314 v°;Guerin_tome1-tome12.xml
JJ195;1239;MDXLVI;fol 274 v°;Guerin_tome1-tome12.xml
JJ195;1252;MDXLVII;fol 277;Guerin_tome1-tome12.xml
JJ195;1293;MDXLVIII;fol 284 v°;Guerin_tome1-tome12.xml
JJ195;1094;MDXLIX;fol 248 v°;Guerin_tome1-tome12.xml
JJ195;1095;MDL;fol 249;Guerin_tome1-tome12.xml
JJ195;1102;MDLI;fol 250;Guerin_tome1-tome12.xml
JJ195;1358;MDLII;fol 296 v°;Guerin_tome1-tome12.xml
JJ195;1404;MDLIII;fol 306;Guerin_tome1-tome12.xml
JJ195;1375;MDLIV;fol 300;Guerin_tome1-tome12.xml
JJ195;1449;MDLV;fol 330;Guerin_tome1-tome12.xml
JJ195;1483;MDLVI;fol 345;Guerin_tome1-tome12.xml
JJ195;1509;MDLVII;fol 359;Guerin_tome1-tome12.xml
JJ195;1480;MDLVIII;fol 344;Guerin_tome1-tome12.xml
JJ195;1518;MDLIX;fol 363;Guerin_tome1-tome12.xml
JJ195;1521;MDLX;fol 364;Guerin_tome1-tome12.xml
JJ204;62;MDLXI;fol 39 v°;Guerin_tome1-tome12.xml
JJ204;65;MDLXII;fol 41 v°;Guerin_tome1-tome12.xml
JJ204;141;MDLXIII;fol 86;Guerin_tome1-tome12.xml
JJ204;67;MDLXIV;fol 43 v°;Guerin_tome1-tome12.xml
JJ224;19;MDLXV;fol 23 v°;Guerin_tome1-tome12.xml
JJ204;47;MDLXVI;fol 30 v°;Guerin_tome1-tome12.xml
JJ195;1533;MDLXVII;fol 369;Guerin_tome1-tome12.xml
JJ204;46;MDLXVIII;fol 30;Guerin_tome1-tome12.xml
JJ224;5;MDLXIX;fol 8;Guerin_tome1-tome12.xml
JJ206;1088;MDLXX;fol 235 v°;Guerin_tome1-tome12.xml
JJ201;74;MDLXXI;fol 58;Guerin_tome1-tome12.xml
JJ201;84;MDLXXII;fol 67;Guerin_tome1-tome12.xml
JJ201;85;MDLXXIII;fol 67 v°;Guerin_tome1-tome12.xml
JJ201;91;MDLXXIV;fol 74;Guerin_tome1-tome12.xml
JJ201;94;MDLXXV;fol 76 v°;Guerin_tome1-tome12.xml
JJ201;90;MDLXXVI;fol 72 V°;Guerin_tome1-tome12.xml
JJ204;173;MDLXXVII;fol 108;Guerin_tome1-tome12.xml
JJ195;1665;MDLXXVIII;fol 434 v°;Guerin_tome1-tome12.xml
JJ201;153;MDLXXIX;fol 118;Guerin_tome1-tome12.xml
JJ204;175;MDLXXX;fol 109;Guerin_tome1-tome12.xml
JJ204;171;MDLXXXI;fol 107;Guerin_tome1-tome12.xml
JJ204;183;MDLXXXII;fol 114;Guerin_tome1-tome12.xml
JJ204;18;MDLXXXIII;fol 9 v°;Guerin_tome1-tome12.xml
JJ204;23;MDLXXXIV;fol 15;Guerin_tome1-tome12.xml
JJ204;28;MDLXXXV;fol 18;Guerin_tome1-tome12.xml
JJ204;29;MDLXXXVI;fol 19 v°;Guerin_tome1-tome12.xml
JJ204;170;MDLXXXVII;fol 106;Guerin_tome1-tome12.xml
JJ204;186;MDLXXXVIII;fol 116;Guerin_tome1-tome12.xml
JJ206;1063;MDLXXXIX;fol 229 v°;Guerin_tome1-tome12.xml
JJ195;1629;MDXC;fol 413 v°;Guerin_tome1-tome12.xml
JJ206;1080;MDXCI;fol 233 v°;Guerin_tome1-tome12.xml
JJ206;1092;MDXCII;fol 236 v°;Guerin_tome1-tome12.xml
JJ206;1114;MDXCIII;fol 241 v°;Guerin_tome1-tome12.xml
JJ206;1123;MDXCIV;fol 243 v°;Guerin_tome1-tome12.xml
JJ206;1134;MDXCV;fol 245 v°;Guerin_tome1-tome12.xml
JJ206;1131;MDXCVI;fol 245;Guerin_tome1-tome12.xml
JJ206;1179;MDXCVII;fol 255 v°;Guerin_tome1-tome12.xml
JJ206;992;MDXCVIII;fol 210 v°;Guerin_tome1-tome12.xml
JJ203;11;MDXCIX;fol 6;Guerin_tome1-tome12.xml
JJ203;17;MDC;fol 9 v°;Guerin_tome1-tome12.xml
JJ203;22;MDCI;fol 12;Guerin_tome1-tome12.xml
JJ203;23;MDCII;fol 13;Guerin_tome1-tome12.xml
JJ203;18;MDCIII;fol 10;Guerin_tome1-tome12.xml
JJ203;29;MDCIV;fol 16 v°;Guerin_tome1-tome12.xml
JJ203;32;MDCV;fol 18;Guerin_tome1-tome12.xml
JJ203;48;MDCVI;fol 28;Guerin_tome1-tome12.xml
JJ203;49;MDCVII;fol 28;Guerin_tome1-tome12.xml
JJ203;45;MDCVIII;fol 26 v°;Guerin_tome1-tome12.xml
JJ203;73;MDCIX;fol 43 v°;Guerin_tome1-tome12.xml
JJ203;77;MDCX;fol 46 v°;Guerin_tome1-tome12.xml
JJ206;198;MDCXI;fol 45;Guerin_tome1-tome12.xml
JJ206;22;MDCXII;fol 5 v°;Guerin_tome1-tome12.xml
JJ206;17;MDCXIII;fol 4 v°;Guerin_tome1-tome12.xml
JJ206;28;MDCXIV;fol 6 v°;Guerin_tome1-tome12.xml
JJ206;29;MDCXV;fol 7;Guerin_tome1-tome12.xml
JJ201;197;MDCXVI;fol 150v;Guerin_tome1-tome12.xml
JJ206;32;MDCXVII;fol 7 v°;Guerin_tome1-tome12.xml
JJ205;27;MDCXVIII;fol 13 v°;Guerin_tome1-tome12.xml
JJ205;22;MDCXIX;fol 11;Guerin_tome1-tome12.xml
JJ205;57;MDCXX;fol 28;Guerin_tome1-tome12.xml
JJ205;87;MDCXXI;fol 44 v°;Guerin_tome1-tome12.xml
JJ205;112;MDCXXII;fol 58v°;Guerin_tome1-tome12.xml
JJ205;114;MDCXXIII;fol 59;Guerin_tome1-tome12.xml
JJ205;150;MDCXXIV;fol 79;Guerin_tome1-tome12.xml
JJ205;120;MDCXXV;fol 63;Guerin_tome1-tome12.xml
JJ205;147;MDCXXVI;fol 77;Guerin_tome1-tome12.xml
JJ205;129;MDCXXVII;fol 68;Guerin_tome1-tome12.xml
JJ205;38;MDCXXVIII;fol 18;Guerin_tome1-tome12.xml
JJ205;160;MDCXXIX;fol 85 v°;Guerin_tome1-tome12.xml
JJ224;70;MDCXXX;fol 11 v°;Guerin_tome1-tome12.xml
JJ205;130;MDCXXXI;fol 68 v°;Guerin_tome1-tome12.xml
JJ205;41;MDCXXXII;fol 20 v°;Guerin_tome1-tome12.xml
JJ205;154;MDCXXXIII;fol 81 v°;Guerin_tome1-tome12.xml
JJ205;156;MDCXXXIV;fol 83 v°;Guerin_tome1-tome12.xml
JJ205;431;MDCXXXV;fol 245 v°;Guerin_tome1-tome12.xml
JJ224;17;MDCXXXVI;fol 21;Guerin_tome1-tome12.xml
JJ205;209;MDCXXXVII;fol 115;Guerin_tome1-tome12.xml
JJ205;282;MDCXXXVIII;fol 160;Guerin_tome1-tome12.xml
JJ205;433;MDCXXXIX;fol 247;Guerin_tome1-tome12.xml
JJ205;307;MDCXL;fol 175;Guerin_tome1-tome12.xml
JJ205;319;MDCXLI;fol 181 v°;Guerin_tome1-tome12.xml
JJ205;317;MDCXLII;fol 181;Guerin_tome1-tome12.xml
JJ205;329;MDCXLIII;fol 187;Guerin_tome1-tome12.xml
JJ205;351;MDCXLIV;fol 196;Guerin_tome1-tome12.xml
JJ206;289;MDCXLV;fol 64 v°;Guerin_tome1-tome12.xml
JJ205;417;MDCXLVI;fol 237;Guerin_tome1-tome12.xml
JJ205;391;MDCXLVII;fol 220 v°;Guerin_tome1-tome12.xml
JJ205;462;MDCXLVIII;fol 262 v°;Guerin_tome1-tome12.xml
JJ206;432;MDCXLIX;fol 99 v°;Guerin_tome1-tome12.xml
JJ205;262;MDCL;fol 146 v°;Guerin_tome1-tome12.xml
JJ205;269;MDCLI;fol 151;Guerin_tome1-tome12.xml
JJ207;75;MDCLII;fol 36;Guerin_tome1-tome12.xml
JJ206;463;MDCLIII;fol 107;Guerin_tome1-tome12.xml
JJ206;556;MDCLIV;fol 128;Guerin_tome1-tome12.xml
JJ206;626;MDCLV;fol 143;Guerin_tome1-tome12.xml
JJ206;627;MDCLVI;fol 143 v°;Guerin_tome1-tome12.xml
JJ209;167;MDCLVII;fol 97;Guerin_tome1-tome12.xml
JJ208;89;MDCLVIII;fol 48 v°;Guerin_tome1-tome12.xml
JJ208;99;MDCLIX;fol 54;Guerin_tome1-tome12.xml
JJ208;115;MDCLX;fol 69;Guerin_tome1-tome12.xml
JJ208;67;MDCLXI;fol 37;Guerin_tome1-tome12.xml
JJ208;132;MDCLXII;fol 78;Guerin_tome1-tome12.xml
JJ208;64;MDCLXIII;fol 35 v°;Guerin_tome1-tome12.xml
JJ208;137;MDCLXIV;fol 80 v°;Guerin_tome1-tome12.xml
JJ208;140;MDCLXV;fol 82;Guerin_tome1-tome12.xml
JJ208;63;MDCLXVI;fol 35;Guerin_tome1-tome12.xml
JJ208;66;MDCLXVII;fol 36 v°;Guerin_tome1-tome12.xml
JJ208;143;MDCLXVIII;fol 85 v°;Guerin_tome1-tome12.xml
JJ209;93;MDCLXIX;fol 55;Guerin_tome1-tome12.xml
JJ207;18;MDCLXX;fol 9 v°;Guerin_tome1-tome12.xml
JJ219;111;MDCLXXI;fol 69 v°;Guerin_tome1-tome12.xml
JJ207;3;MDCLXXII;fol 1v°;Guerin_tome1-tome12.xml
JJ207;209;MDCLXXIII;fol 97 v°;Guerin_tome1-tome12.xml
JJ207;5;MDCLXXIV;fol 3;Guerin_tome1-tome12.xml
JJ207;4;MDCLXXV;fol 2;Guerin_tome1-tome12.xml
JJ207;9;MDCLXXVI;fol 5;Guerin_tome1-tome12.xml
JJ207;31;MDCLXXVII;fol 15v°;Guerin_tome1-tome12.xml
JJ208;155;MDCLXXVIII;fol 93;Guerin_tome1-tome12.xml
JJ207;43;MDCLXXIX;fol 21;Guerin_tome1-tome12.xml
JJ207;63;MDCLXXX;fol 30;Guerin_tome1-tome12.xml
JJ208;37;MDCLXXXI;fol 20v;Guerin_tome1-tome12.xml
JJ209;100;MDCLXXXII;fol 59;Guerin_tome1-tome12.xml
JJ209;101;MDCLXXXIII;fol 59;Guerin_tome1-tome12.xml
JJ209;117;MDCLXXXIV;fol 67;Guerin_tome1-tome12.xml
JJ207;224;MDCLXXXV;fol 105v;Guerin_tome1-tome12.xml
JJ207;242;MDCLXXXVI;fol 111v;Guerin_tome1-tome12.xml
JJ208;183;MDCLXXXVII;fol 108v;Guerin_tome1-tome12.xml
JJ208;179;MDCLXXXVIII;fol 106v;Guerin_tome1-tome12.xml
JJ209;51;MDCLXXXIX;fol 27 v°;Guerin_tome1-tome12.xml
JJ209;123;MDCXC;fol 70 v°;Guerin_tome1-tome12.xml
JJ209;98;MDCXCI;fol 57 v°;Guerin_tome1-tome12.xml
JJ209;151;MDCXCII;fol 84;Guerin_tome1-tome12.xml
JJ209;25;MDCXCIII;fol 13;Guerin_tome1-tome12.xml
JJ207;105;MDCXCIV;fol 52;Guerin_tome1-tome12.xml
JJ207;97;MDCXCV;fol 48;Guerin_tome1-tome12.xml
JJ209;160;MDCXCVI;fol 89;Guerin_tome1-tome12.xml
JJ209;156;MDCXCVII;fol 86 v°;Guerin_tome1-tome12.xml
JJ209;159;MDCXCVIII;fol 88;Guerin_tome1-tome12.xml
JJ209;195;MDCXCIX;fol 108;Guerin_tome1-tome12.xml
JJ209;196;MDCC;fol 108 v°;Guerin_tome1-tome12.xml
JJ209;200;MDCCI;fol 110;Guerin_tome1-tome12.xml
JJ209;74;MDCCII;fol 45;Guerin_tome1-tome12.xml
JJ209;89;MDCCIII;fol 53;Guerin_tome1-tome12.xml
JJ209;78;MDCCIV;fol 47;Guerin_tome1-tome12.xml
JJ209;80;MDCCV;fol 47 v°;Guerin_tome1-tome12.xml
JJ209;81;MDCCVI;fol 48;Guerin_tome1-tome12.xml
JJ209;91;MDCCVII;fol 53 v°;Guerin_tome1-tome12.xml
JJ209;208;MDCCVIII;fol 114 v°;Guerin_tome1-tome12.xml
JJ207;80;MDCCIX;fol 39;Guerin_tome1-tome12.xml
JJ207;82;MDCCX;fol 39 v°;Guerin_tome1-tome12.xml
JJ209;205;MDCCXI;fol 112 v°;Guerin_tome1-tome12.xml
JJ209;211;MDCCXII;fol 115 v°;Guerin_tome1-tome12.xml
JJ207;368;MDCCXIII;fol 171;Guerin_tome1-tome12.xml
JJ209;113;MDCCXIV;fol 65 v°;Guerin_tome1-tome12.xml
JJ209;14;MDCCXV;fol 7;Guerin_tome1-tome12.xml
JJ208;163;MDCCXVI;fol 99;Guerin_tome1-tome12.xml
JJ207;282;MDCCXVII;fol 129;Guerin_tome1-tome12.xml
JJ207;347;MDCCXVIII;fol 161 v°;Guerin_tome1-tome12.xml
JJ207;277;MDCCXIX;fol 125 v°;Guerin_tome1-tome12.xml
JJ208;244;MDCCXX;fol 145;Guerin_tome1-tome12.xml
JJ208;247;MDCCXXI;fol 147;Guerin_tome1-tome12.xml
