manifestURL,canvasId,urlImage,folderPath,imageLabel,imageWidthAsDeclared,imageHeightAsDeclared,htmlCode,imageFileName,imageWidthAsDownloaded,imageHeightAsDownloaded,urlResizedImage,ResizedImagehtmlCode,ResizedImageWidthAsDownloaded,ResizedImageHeightAsDownloaded
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293256,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrqayf0d6kem/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,43v,4704,4305,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_97.jpg,4704,4305,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrqayf0d6kem/full/,1200/0/default.jpg",200,1311,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293257,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyggkdi6908u/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,44r,4122,4284,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_98.jpg,4122,4284,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyggkdi6908u/full/1200,/0/default.jpg",200,1200,1247
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293258,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vi4vwxwqrxhi/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,44v,4704,4305,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_99.jpg,4704,4305,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vi4vwxwqrxhi/full/,1200/0/default.jpg",200,1311,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293259,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8gx8u4s9qrq/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,45r,4146,4251,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_100.jpg,4146,4251,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8gx8u4s9qrq/full/1200,/0/default.jpg",200,1200,1230
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293260,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6b4pidpr78v/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,45v,4704,4305,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_101.jpg,4704,4305,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6b4pidpr78v/full/,1200/0/default.jpg",200,1311,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293261,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v35t0vkxd26t/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,46r,4128,4233,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_102.jpg,4128,4233,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v35t0vkxd26t/full/1200,/0/default.jpg",200,1200,1230
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293262,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0eo47yuzo1a/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,46v,4701,4302,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_103.jpg,4701,4302,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0eo47yuzo1a/full/,1200/0/default.jpg",200,1311,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293263,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsrs6hkdpfhu/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,47r,3981,4254,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_104.jpg,3981,4254,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsrs6hkdpfhu/full/1200,/0/default.jpg",200,1200,1283
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293264,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9iqug3wmxx1/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,47v,4704,4302,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_105.jpg,4704,4302,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9iqug3wmxx1/full/,1200/0/default.jpg",200,1312,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293265,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm19kw88yi1p/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,48r,4005,4218,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_106.jpg,4005,4218,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm19kw88yi1p/full/1200,/0/default.jpg",200,1200,1264
