manifestURL,canvasId,urlImage,folderPath,imageLabel,imageWidthAsDeclared,imageHeightAsDeclared,htmlCode,imageFileName,imageWidthAsDownloaded,imageHeightAsDownloaded,urlResizedImage,ResizedImagehtmlCode,ResizedImageWidthAsDownloaded,ResizedImageHeightAsDownloaded
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198219,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpkt6ol6cyvm/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,10r,4200,6477,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-21.jpg,4200,6477,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpkt6ol6cyvm/full/1200,/0/default.jpg+ACI-,200,1200,1851
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198220,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9jyb3xckiyf/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,10v,4120,6437,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-22.jpg,4120,6437,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9jyb3xckiyf/full/1200,/0/default.jpg+ACI-,200,1200,1875
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198221,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4dzckboshdd/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,11r,4200,6477,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-23.jpg,4200,6477,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4dzckboshdd/full/1200,/0/default.jpg+ACI-,200,1200,1851
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198222,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbj1xqdvl055/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,11v,4120,6437,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-24.jpg,4120,6437,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbj1xqdvl055/full/1200,/0/default.jpg+ACI-,200,1200,1875
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198223,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzg8wster8j4/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,12r,4200,6477,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-25.jpg,4200,6477,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzg8wster8j4/full/1200,/0/default.jpg+ACI-,200,1200,1851
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198224,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8vpjjh0xuch/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,12v,4120,6437,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-26.jpg,4120,6437,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8vpjjh0xuch/full/1200,/0/default.jpg+ACI-,200,1200,1875
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198225,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vw9795taaz9r/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,13r,4200,6477,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-27.jpg,4200,6477,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/vw9795taaz9r/full/1200,/0/default.jpg+ACI-,200,1200,1851
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198226,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v85j1kaa3fiz/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,13v,4120,6437,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-28.jpg,4120,6437,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/v85j1kaa3fiz/full/1200,/0/default.jpg+ACI-,200,1200,1875
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198227,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v41il2fgewco/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,14r,4200,6477,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-29.jpg,4200,6477,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/v41il2fgewco/full/1200,/0/default.jpg+ACI-,200,1200,1851
https://api.irht.cnrs.fr/ark:/63955/fvdy3kcmb2es/manifest.json,https://arca.irht.cnrs.fr/iiif/125462/canvas/canvas+AC0-4198228,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4mtyw4x6v5b/full/full/0/default.jpg,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096,14v,4152,6437,200,images+AF8-registres+AF8-AN+AF8-JJ035+AF8-JJ211/images+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AFw-Paris+AF8-Archives+AF8-Nationales+AF8-JJ096+AF8-30.jpg,4152,6437,+ACI-https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4mtyw4x6v5b/full/1200,/0/default.jpg+ACI-,200,1200,1860
